event_type_id,title,details,start,end,time
2,Saturday,Saturday,1/4/2014,1/4/2014,fullday
2,Sunday,Sunday,1/5/2014,1/5/2014,fullday
2,Saturday,Saturday,1/11/2014,1/11/2014,fullday
2,Sunday,Sunday,1/12/2014,1/12/2014,fullday
4,public holiday,public holiday,1/14/2014,1/14/2014,fullday
1,Duruthu,poya day,1/15/2014,1/15/2014,fullday
2,Saturday,Saturday,1/18/2014,1/18/2014,fullday
2,Sunday,Sunday,1/19/2014,1/19/2014,fullday
2,Saturday,Saturday,1/25/2014,1/25/2014,fullday
2,Sunday,Sunday,1/26/2014,1/26/2014,fullday
2,Saturday,Saturday,2/1/2014,2/1/2014,fullday
2,Sunday,Sunday,2/2/2014,2/2/2014,fullday
4,public holiday,public holiday,2/4/2014,2/4/2014,fullday
2,Saturday,Saturday,2/8/2014,2/8/2014,fullday
2,Sunday,Sunday,2/9/2014,2/9/2014,fullday
1,Nawam,poya day,2/14/2014,2/14/2014,fullday
2,Saturday,Saturday,2/15/2014,2/15/2014,fullday
2,Sunday,Sunday,2/16/2014,2/16/2014,fullday
2,Saturday,Saturday,2/22/2014,2/22/2014,fullday
2,Sunday,Sunday,2/23/2014,2/23/2014,fullday
2,Saturday,Saturday,3/1/2014,3/1/2014,fullday
2,Sunday,Sunday,3/2/2014,3/2/2014,fullday
2,Saturday,Saturday,3/8/2014,3/8/2014,fullday
2,Sunday,Sunday,3/9/2014,3/9/2014,fullday
2,Saturday,Saturday,3/15/2014,3/15/2014,fullday
2,Sunday,Sunday,3/16/2014,3/16/2014,fullday
2,Saturday,Saturday,3/29/2014,3/29/2014,fullday
2,Sunday,Sunday,3/30/2014,3/30/2014,fullday
2,Saturday,Saturday,4/5/2014,4/5/2014,fullday
2,Sunday,Sunday,4/6/2014,4/6/2014,fullday
2,Saturday,Saturday,4/12/2014,4/12/2014,fullday
2,Sunday,Sunday,4/13/2014,4/13/2014,fullday
4,New Year (Sinhala $ Tamil),public holiday,4/14/2014,4/14/2014,fullday
2,Saturday,Saturday,4/19/2014,4/19/2014,fullday
2,Sunday,Sunday,4/20/2014,4/20/2014,fullday
2,Saturday,Saturday,4/26/2014,4/26/2014,fullday
2,Sunday,Sunday,4/27/2014,4/27/2014,fullday
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
