event_type_id,title,details,start,end,time
2,Sun day,Sun day,9/1/2013,9/1/2013,fullday
2,Sta day,Sta day,9/7/2013,9/7/2013,fullday
2,Sun day,Sun day,9/8/2013,9/8/2013,fullday
2,Sta day,Sta day,9/14/2013,9/14/2013,fullday
2,Sun day,Sun day,9/15/2013,9/15/2013,fullday
1,Binara,poya day,9/19/2013,9/19/2013,fullday
2,Sta day,Sta day,9/21/2013,9/21/2013,fullday
2,Sun day,Sun day,9/22/2013,9/22/2013,fullday
2,Sta day,Sta day,9/28/2013,9/28/2013,fullday
2,Sun day,Sun day,9/29/2013,9/29/2013,fullday
2,Sta day,Sta day,10/5/2013,10/5/2013,fullday
2,Sun day,Sun day,10/6/2013,10/6/2013,fullday
2,Sta day,Sta day,10/12/2013,10/12/2013,fullday
2,Sun day,Sun day,10/13/2013,10/13/2013,fullday
1,Vap,poya day,10/18/2013,10/20/2013,fullday
2,Sta day,Sta day,10/19/2013,10/19/2013,fullday
2,Sun day,Sun day,10/20/2013,10/20/2013,fullday
2,Sta day,Sta day,10/26/2013,10/26/2013,fullday
2,Sun day,Sun day,10/27/2013,10/27/2013,fullday
2,Sta day,Sta day,11/2/2013,11/2/2013,fullday
2,Sun day,Sun day,11/3/2013,11/3/2013,fullday
2,Sta day,Sta day,11/9/2013,11/9/2013,fullday
2,Sun day,Sun day,11/10/2013,11/10/2013,fullday
2,Sta day,Sta day,11/16/2013,11/16/2013,fullday
"1,2",Sun day/IL,Sun day/poya day,11/17/2013,11/17/2013,fullday
2,Sta day,Sta day,11/23/2013,11/23/2013,fullday
2,Sun day,Sun day,11/24/2013,11/24/2013,fullday
2,Sta day,Sta day,11/30/2013,11/30/2013,fullday
2,Sun day,Sun day,12/1/2013,12/1/2013,fullday
2,Sta day,Sta day,12/7/2013,12/7/2013,fullday
2,Sun day,Sun day,12/8/2013,12/8/2013,fullday
2,Sta day,Sta day,12/14/2013,12/14/2013,fullday
2,Sun day,Sun day,12/15/2013,12/15/2013,fullday
1,Uduwap,poya day,12/16/2013,12/16/2013,fullday
2,Sta day,Sta day,12/21/2013,12/21/2013,fullday
2,Sun day,Sun day,12/22/2013,12/22/2013,fullday
4,Christmas,public holiday,12/25/2013,12/25/2013,fullday
2,Sta day,Sta day,12/28/2013,12/28/2013,fullday
2,Sun day,Sun day,12/29/2013,12/29/2013,fullday
